"","fips","year.x","cig_tax","year.y","cig_sales_pc"
"440",21,2012,1.61,2014,89
"441",21,2013,1.61,2010,110.7
"442",21,2013,1.61,2011,103.7
"443",21,2013,1.61,2012,100.1
"444",21,2013,1.61,2013,93.5
"445",21,2013,1.61,2014,89
"446",21,2014,1.61,2010,110.7
"447",21,2014,1.61,2011,103.7
"448",21,2014,1.61,2012,100.1
"449",21,2014,1.61,2013,93.5
"450",21,2014,1.61,2014,89
"451",22,2010,1.37,2010,74.3
"452",22,2010,1.37,2011,78.8
"453",22,2010,1.37,2012,72
"454",22,2010,1.37,2013,73.3
"455",22,2010,1.37,2014,65.1
"456",22,2011,1.37,2010,74.3
"457",22,2011,1.37,2011,78.8
"458",22,2011,1.37,2012,72
"459",22,2011,1.37,2013,73.3
"460",22,2011,1.37,2014,65.1
"461",22,2012,1.37,2010,74.3
"462",22,2012,1.37,2011,78.8
"463",22,2012,1.37,2012,72
"464",22,2012,1.37,2013,73.3
"465",22,2012,1.37,2014,65.1
"466",22,2013,1.37,2010,74.3
"467",22,2013,1.37,2011,78.8
"468",22,2013,1.37,2012,72
"469",22,2013,1.37,2013,73.3
"470",22,2013,1.37,2014,65.1
"471",22,2014,1.37,2010,74.3
"472",22,2014,1.37,2011,78.8
"473",22,2014,1.37,2012,72
"474",22,2014,1.37,2013,73.3
"475",22,2014,1.37,2014,65.1
"476",23,2010,3.01,2010,53
"477",23,2010,3.01,2011,51.1
"478",23,2010,3.01,2012,48.9
"479",23,2010,3.01,2013,48.5
"480",23,2010,3.01,2014,47.4
"481",23,2011,3.01,2010,53
"482",23,2011,3.01,2011,51.1
"483",23,2011,3.01,2012,48.9
"484",23,2011,3.01,2013,48.5
"485",23,2011,3.01,2014,47.4
"486",23,2012,3.01,2010,53
"487",23,2012,3.01,2011,51.1
"488",23,2012,3.01,2012,48.9
"489",23,2012,3.01,2013,48.5
"490",23,2012,3.01,2014,47.4
"491",23,2013,3.01,2010,53
"492",23,2013,3.01,2011,51.1
"493",23,2013,3.01,2012,48.9
"494",23,2013,3.01,2013,48.5
"495",23,2013,3.01,2014,47.4
"496",23,2014,3.01,2010,53
"497",23,2014,3.01,2011,51.1
"498",23,2014,3.01,2012,48.9
"499",23,2014,3.01,2013,48.5
"500",23,2014,3.01,2014,47.4
"501",24,2010,3.01,2010,35
"502",24,2010,3.01,2011,34.6
"503",24,2010,3.01,2012,34.4
"504",24,2010,3.01,2013,32.6
"505",24,2010,3.01,2014,31.6
"506",24,2011,3.01,2010,35
"507",24,2011,3.01,2011,34.6
"508",24,2011,3.01,2012,34.4
"509",24,2011,3.01,2013,32.6
"510",24,2011,3.01,2014,31.6
"511",24,2012,3.01,2010,35
"512",24,2012,3.01,2011,34.6
"513",24,2012,3.01,2012,34.4
"514",24,2012,3.01,2013,32.6
"515",24,2012,3.01,2014,31.6
"516",24,2013,3.01,2010,35
"517",24,2013,3.01,2011,34.6
"518",24,2013,3.01,2012,34.4
"519",24,2013,3.01,2013,32.6
"520",24,2013,3.01,2014,31.6
"521",24,2014,3.01,2010,35
"522",24,2014,3.01,2011,34.6
"523",24,2014,3.01,2012,34.4
"524",24,2014,3.01,2013,32.6
"525",24,2014,3.01,2014,31.6
"526",25,2010,3.52,2010,33.7
"527",25,2010,3.52,2011,34.2
"528",25,2010,3.52,2012,33.5
"529",25,2010,3.52,2013,32.2
"530",25,2010,3.52,2014,27.1
"531",25,2011,3.52,2010,33.7
"532",25,2011,3.52,2011,34.2
"533",25,2011,3.52,2012,33.5
"534",25,2011,3.52,2013,32.2
"535",25,2011,3.52,2014,27.1
"536",25,2012,3.52,2010,33.7
"537",25,2012,3.52,2011,34.2
"538",25,2012,3.52,2012,33.5
"539",25,2012,3.52,2013,32.2
"540",25,2012,3.52,2014,27.1
"541",25,2013,4.52,2010,33.7
"542",25,2013,4.52,2011,34.2
"543",25,2013,4.52,2012,33.5
"544",25,2013,4.52,2013,32.2
"545",25,2013,4.52,2014,27.1
"546",25,2014,4.52,2010,33.7
"547",25,2014,4.52,2011,34.2
"548",25,2014,4.52,2012,33.5
"549",25,2014,4.52,2013,32.2
"550",25,2014,4.52,2014,27.1
"551",26,2010,3.01,2010,48.8
"552",26,2010,3.01,2011,46.4
"553",26,2010,3.01,2012,46.7
"554",26,2010,3.01,2013,45.4
"555",26,2010,3.01,2014,44.5
"556",26,2011,3.01,2010,48.8
"557",26,2011,3.01,2011,46.4
"558",26,2011,3.01,2012,46.7
"559",26,2011,3.01,2013,45.4
"560",26,2011,3.01,2014,44.5
"561",26,2012,3.01,2010,48.8
"562",26,2012,3.01,2011,46.4
"563",26,2012,3.01,2012,46.7
"564",26,2012,3.01,2013,45.4
"565",26,2012,3.01,2014,44.5
"566",26,2013,3.01,2010,48.8
"567",26,2013,3.01,2011,46.4
"568",26,2013,3.01,2012,46.7
"569",26,2013,3.01,2013,45.4
"570",26,2013,3.01,2014,44.5
"571",26,2014,3.01,2010,48.8
"572",26,2014,3.01,2011,46.4
"573",26,2014,3.01,2012,46.7
"574",26,2014,3.01,2013,45.4
"575",26,2014,3.01,2014,44.5
"576",27,2010,2.59,2010,46.5
"577",27,2010,2.59,2011,51.5
"578",27,2010,2.59,2012,37.9
"579",27,2010,2.59,2013,43.1
"580",27,2010,2.59,2014,31.4
"581",27,2011,2.596,2010,46.5
"582",27,2011,2.596,2011,51.5
"583",27,2011,2.596,2012,37.9
"584",27,2011,2.596,2013,43.1
"585",27,2011,2.596,2014,31.4
"586",27,2012,2.61,2010,46.5
"587",27,2012,2.61,2011,51.5
"588",27,2012,2.61,2012,37.9
"589",27,2012,2.61,2013,43.1
"590",27,2012,2.61,2014,31.4
"591",27,2013,4.333,2010,46.5
"592",27,2013,4.333,2011,51.5
"593",27,2013,4.333,2012,37.9
"594",27,2013,4.333,2013,43.1
"595",27,2013,4.333,2014,31.4
"596",27,2014,4.352,2010,46.5
"597",27,2014,4.352,2011,51.5
"598",27,2014,4.352,2012,37.9
"599",27,2014,4.352,2013,43.1
"600",27,2014,4.352,2014,31.4
"601",28,2010,1.69,2010,70.3
"602",28,2010,1.69,2011,67.9
"603",28,2010,1.69,2012,66.5
"604",28,2010,1.69,2013,63.9
"605",28,2010,1.69,2014,61.2
"606",28,2011,1.69,2010,70.3
"607",28,2011,1.69,2011,67.9
"608",28,2011,1.69,2012,66.5
"609",28,2011,1.69,2013,63.9
"610",28,2011,1.69,2014,61.2
"611",28,2012,1.69,2010,70.3
"612",28,2012,1.69,2011,67.9
"613",28,2012,1.69,2012,66.5
"614",28,2012,1.69,2013,63.9
"615",28,2012,1.69,2014,61.2
"616",28,2013,1.69,2010,70.3
"617",28,2013,1.69,2011,67.9
"618",28,2013,1.69,2012,66.5
"619",28,2013,1.69,2013,63.9
"620",28,2013,1.69,2014,61.2
"621",28,2014,1.69,2010,70.3
"622",28,2014,1.69,2011,67.9
"623",28,2014,1.69,2012,66.5
"624",28,2014,1.69,2013,63.9
"625",28,2014,1.69,2014,61.2
"626",29,2010,1.18,2010,92.3
"627",29,2010,1.18,2011,91.1
"628",29,2010,1.18,2012,89.4
"629",29,2010,1.18,2013,87.4
"630",29,2010,1.18,2014,82.6
"631",29,2011,1.18,2010,92.3
"632",29,2011,1.18,2011,91.1
"633",29,2011,1.18,2012,89.4
"634",29,2011,1.18,2013,87.4
"635",29,2011,1.18,2014,82.6
"636",29,2012,1.18,2010,92.3
"637",29,2012,1.18,2011,91.1
"638",29,2012,1.18,2012,89.4
"639",29,2012,1.18,2013,87.4
"640",29,2012,1.18,2014,82.6
"641",29,2013,1.18,2010,92.3
"642",29,2013,1.18,2011,91.1
"643",29,2013,1.18,2012,89.4
"644",29,2013,1.18,2013,87.4
"645",29,2013,1.18,2014,82.6
"646",29,2014,1.18,2010,92.3
"647",29,2014,1.18,2011,91.1
"648",29,2014,1.18,2012,89.4
"649",29,2014,1.18,2013,87.4
"650",29,2014,1.18,2014,82.6
"651",30,2010,2.71,2010,47.3
"652",30,2010,2.71,2011,45.5
"653",30,2010,2.71,2012,45.5
"654",30,2010,2.71,2013,44.3
"655",30,2010,2.71,2014,43
"656",30,2011,2.71,2010,47.3
"657",30,2011,2.71,2011,45.5
"658",30,2011,2.71,2012,45.5
"659",30,2011,2.71,2013,44.3
"660",30,2011,2.71,2014,43
"661",30,2012,2.71,2010,47.3
"662",30,2012,2.71,2011,45.5
"663",30,2012,2.71,2012,45.5
"664",30,2012,2.71,2013,44.3
"665",30,2012,2.71,2014,43
"666",30,2013,2.71,2010,47.3
"667",30,2013,2.71,2011,45.5
"668",30,2013,2.71,2012,45.5
"669",30,2013,2.71,2013,44.3
"670",30,2013,2.71,2014,43
"671",30,2014,2.71,2010,47.3
"672",30,2014,2.71,2011,45.5
"673",30,2014,2.71,2012,45.5
"674",30,2014,2.71,2013,44.3
"675",30,2014,2.71,2014,43
"676",31,2010,1.65,2010,55
"677",31,2010,1.65,2011,53.5
"678",31,2010,1.65,2012,52.5
"679",31,2010,1.65,2013,51.2
"680",31,2010,1.65,2014,47.3
"681",31,2011,1.65,2010,55
"682",31,2011,1.65,2011,53.5
"683",31,2011,1.65,2012,52.5
"684",31,2011,1.65,2013,51.2
